MONTH,ROBUSTA KIBOKO,ROBUSTA FAQ,ARABICA PARCHMENT,Exchange rate,Year
Jul-92,210,420,499,1177.86,1992
Aug-92,220,440,500,1185.29,1992
Sep-92,215,400,502,1185.15,1992
Oct-92,225,450,510,1181.07,1992
Nov-92,250,500,550,1196.34,1992
Dec-92,300,600,563,1213.93,1992
Jan-93,300,600,606,1217.12,1993
Feb-93,270,540,605,1217.09,1993
Mar-93,280,560,605,1217.52,1993
Apr-93,270,540,607,1218.09,1993
May-93,275,550,597,1213.27,1993
Jun-93,270,540,600,1199.09,1993
Jul-93,300,600,608,1197.57,1993
Aug-93,320,640,645,1196.65,1993
Sep-93,350,700,700,1181.99,1993
Oct-93,350,800,773,1170.84,1993
Nov-93,325,650,775,1165.01,1993
Dec-93,400,900,770,1146,1993
Jan-94,500,900,950,1112.71,1994
Feb-94,600,1100,1200,1047.22,1994
Mar-94,650,1200,1350,1079.22,1994
Apr-94,650,1200,1450,1007.03,1994
May-94,700,1200,1450,965.71,1994
Jun-94,650,1300,1550,962.59,1994
Jul-94,950,1900,1600,967.07,1994
Aug-94,1100,2200,1900,921.38,1994
Sep-94,1000,2150,2000,920.79,1994
Oct-94,750,1650,1800,919.78,1994
Nov-94,825,1925,2100,920.14,1994
Dec-94,800,1600,1900,929.75,1994
Jan-95,850,1700,1650,925.04,1995
Feb-95,900,1800,1500,925.53,1995
Mar-95,800,1750,1475,927.04,1995
Apr-95,775,1700,1475,928.83,1995
May-95,825,1750,1500,941.02,1995
Jun-95,900,1800,1550,964.81,1995
Jul-95,950,1900,1550,968.93,1995
Aug-95,900,1850,1435,970.03,1995
Sep-95,750,1600,1435,977.7,1995
Oct-95,725,1680,1365,1043.38,1995
Nov-95,825,1730,1265,1028.3,1995
Dec-95,718,1380,1220,1023.25,1995
Jan-96,600,1350,1000,1017.72,1996
Feb-96,700,1400,1300,1022.37,1996
Mar-96,700,1450,1300,1016.6,1996
Apr-96,650,1450,1325,1013.56,1996
May-96,600,1350,1250,1018,1996
Jun-96,550,1325,1300,1041.36,1996
Jul-96,500,1200,1325,1055.44,1996
Aug-96,450,1000,1250,1067.44,1996
Sep-96,500,1100,1300,1074.97,1996
Oct-96,450,900,1150,1105.05,1996
Nov-96,400,850,1100,1081.48,1996
Dec-96,350,800,1050,1030.35,1996
Jan-97,550,1150,1350,1044.85,1997
Feb-97,650,1400,1650,1033.11,1997
Mar-97,600,1325,1550,1024.95,1997
Apr-97,700,1400,1750,1046.46,1997
May-97,800,1750,2250,1065.3,1997
Jun-97,625,1450,1850,1067.59,1997
Jul-97,600,1500,2350,1068.02,1997
Aug-97,550,1250,2150,1098.17,1997
Sep-97,600,1225,2100,1117.12,1997
Oct-97,550,1250,2000,1140.4,1997
Nov-97,600,1300,2000,1147.19,1997
Dec-97,650,1350,2050,1142.94,1997
Jan-98,725,1600,2430,1148.07,1998
Feb-98,750,1650,2450,1152.52,1998
Mar-98,780,1750,2675,1152.39,1998
Apr-98,860,1765,2200,1174.51,1998
May-98,845,1690,2150,1223.48,1998
Jun-98,725,1500,1890,1231.02,1998
Jul-98,650,1400,1900,1235.02,1998
Aug-98,700,1550,1800,1244.37,1998
Sep-98,750,1700,1750,1284.84,1998
Oct-98,600,1250,2100,1314.19,1998
