Month,Year,ItemName,Price,District
10,2008,1,1570,9
11,2008,1,1408.33,9
12,2008,1,1400,9
1,2009,1,1500,9
2,2009,1,1500,9
3,2009,1,1476.92,9
4,2009,1,1454.55,9
5,2009,1,1666.67,9
6,2009,1,1584.62,9
7,2009,1,1538.46,9
8,2009,1,1807.14,9
9,2009,1,2069.23,9
10,2009,1,1753.85,9
11,2009,1,1527.27,9
12,2009,1,1400,9
1,2010,1,1320,9
2,2010,1,1372.73,9
3,2010,1,1485.71,9
4,2010,1,1690.91,9
5,2010,1,1807.6899,9
6,2010,1,1550,9
7,2010,1,1608.33,9
8,2010,1,1753.5699,9
9,2010,1,1815.38,9
10,2010,1,1800,9
11,2010,1,1592.3101,9
12,2010,1,1553.85,9
1,2011,1,1678.5699,9
2,2011,1,1758.33,9
3,2011,1,2040.91,9
4,2011,1,1600,9
5,2011,1,2625,9
6,2011,1,1700,9
7,2011,1,1438,9
8,2011,1,1529,9
9,2011,1,1500,9
10,2011,1,1487,9
11,2011,1,1510,9
12,2011,1,1467,9
1,2012,1,1411,9
2,2012,1,1650,9
3,2012,1,1746,9
4,2012,1,2650,9
5,2012,1,2775,9
6,2012,1,2400,9
7,2012,1,1650,9
8,2012,1,1689,9
9,2012,1,2067,9
10,2012,1,1815,9
11,2012,1,1492,9
12,2012,1,1617,9
1,2013,1,1775,9
2,2013,1,1733,9
3,2013,1,2350,9
4,2013,1,2408.5,9
5,2013,1,2410.5,9
6,2013,1,2350,9
7,2013,1,1893.4,9
8,2013,1,2300,9
9,2013,1,2450,9
10,2013,1,1975,9
11,2013,1,1517,9
12,2013,1,1617,9
1,2014,1,2000,9
2,2014,1,2000,9
3,2014,1,2292,9
4,2014,1,2290,9
5,2014,1,2525,9
6,2014,1,1833,9
7,2014,1,1710,9
8,2014,1,1925,9
9,2014,1,2000,9
10,2014,1,1863,9
11,2014,1,1812.5,9
12,2014,1,1800,9
1,2015,1,2000,9
2,2015,1,2400,9
3,2015,1,2500,9
4,2015,1,4000,9
5,2015,1,4333,9
6,2015,1,2000,9
7,2015,1,2100,9
8,2015,1,2325,9
9,2015,1,2500,9
10,2015,1,2500,9
11,2015,1,2500,9
12,2015,1,2383,9
1,2016,1,2567,9
2,2016,1,2750,9
3,2016,1,3000,9
4,2016,1,2955,9
5,2016,1,2967,9
6,2016,1,2517,9
7,2016,1,2600,9
8,2016,1,2733,9
9,2016,1,2925,9
10,2016,1,2500,9
11,2016,1,2522,9
12,2016,1,2911,9
1,2017,1,3000,9
2,2017,1,3267,9
3,2017,1,3425,9
4,2017,1,3644,9
5,2017,1,2767,9
6,2017,1,2500,9
7,2017,1,2750,9
8,2017,1,2600,9
9,2017,1,2700,9
10,2017,1,2900,9
11,2017,1,2450,9
12,2017,1,2363,9
1,2018,1,2400,9
2,2018,1,2400,9
3,2018,1,2700,9
4,2018,1,3000,9
5,2018,1,3000,9
6,2018,1,2400,9
7,2018,1,2062.5,9
8,2018,1,2000,9
9,2018,1,2100,9
10,2018,1,1767,9
11,2018,1,2467,9
12,2018,1,2450,9
1,2019,1,2617,9
2,2019,1,2700,9
3,2019,1,2750,9
4,2019,1,2900,9
5,2019,1,3600,9
6,2019,1,3552.5,9
7,2019,1,3287.5,9
8,2019,1,3337.5,9
9,2019,1,3391.5,9
10,2019,1,3466.6667,9
11,2019,1,3425,9
12,2019,1,3350,9
