Name,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
KAMPALA,1,2012,3.4,87.7,60.8,65.3,113.5,125,64.8,83.9,91.3,87.5,217,212.8,1213
KAMPALA,1,2013,88.6,90.2,182.4,151.1,143.4,16.2,12.6,44,237,103,181,119,1367.7
KAMPALA,1,2014,70,14.1,124.9,274.5,172.7,89.1,36.2,238.6,65.3,138.5,295.2,87.1,1606.2
KAMPALA,1,2015,2.2,59.9,91.4,86.3,215.6,71.1,22,85.5,99.4,286.6,343.5,190.9,1554.4
KAMPALA,1,2016,55,28,118.7,297,111.3,46.9,12,109.6,93.6,94.2,213.2,75.8,1255.3
KAMPALA,1,2017,20.6,152.8,207.1,170.6,139.8,43.4,122.8,50.7,147.1,88.4,203.6,27.4,1374.3
KASESE,2,2011,4.2,11.4,99.8,76.4,246.2,125.8,57.3,143.4,143.4,86.4,192.5,58.3,1245.1
KASESE,2,2013,17.1,52.5,65,177.8,108.9,8.7,8.4,80.2,97.1,89.1,122.3,27.5,854.6
KASESE,2,2014,25.8,29,145.5,63.5,50,25.4,19.1,125.8,167.3,124,200.8,16.7,992.9
KASESE,2,2015,0.8,15.2,35.6,113.4,80.1,74.1,19.7,21.9,122.2,85.3,137.5,49.3,755.1
KASESE,2,2016,18.2,5.8,72.8,141.4,86.5,114.1,17.7,151.2,45.3,150.5,123.3,21.1,947.9
KASESE,2,2017,3.7,53.3,88.4,26.3,71.1,14.6,22.7,74.9,132.9,147,127.4,12.3,774.6
ENTEBBE,3,2011,65.3,24.3,247,166.8,99.9,57.1,48.6,96.1,109.1,324.1,203.3,96.2,1537.8
ENTEBBE,3,2012,4.8,40.2,106,209.8,202.4,74.6,0.5,42.6,65.5,79,177.9,258.9,1262.2
ENTEBBE,3,2013,131.5,65.2,213.7,178.7,198.4,16.7,5.3,47.9,201.5,71.1,139.1,108.6,1377.7
ENTEBBE,3,2014,52,25.6,172.2,275.1,193,158,49.2,171.1,199.4,138.4,82.4,95.6,1612
ENTEBBE,3,2015,17.3,55.7,329.2,194.6,295.1,48.6,48.6,59.7,17,210.5,255.5,101.5,1633.3
ENTEBBE,3,2016,123.9,20.9,204.7,404.6,213.3,122.5,3.9,87.4,148.9,47.3,109,134.5,1620.9
ENTEBBE,3,2017,1.8,127.3,193.5,264.4,319.1,48.4,32.8,46.3,121,115.7,112.6,46.2,1429.1
LIRA,4,2012,0,7.4,23.9,321.1,135.6,86.3,89.7,255.3,278.9,131.9,147.8,93.4,1571.3
